"사고유형별","도로종류별","월별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"횡단중","시도","5월","부상자수[명]","명","514","419","410","457","449",
"횡단중","시도","6월","사고건수[건]","건","476","411","373","378","322",
"횡단중","시도","6월","사망자수[명]","명","16","10","12","8","6",
"횡단중","시도","6월","부상자수[명]","명","489","434","380","397","341",
"횡단중","시도","7월","사고건수[건]","건","502","412","356","374","358",
"횡단중","시도","7월","사망자수[명]","명","15","10","15","15","16",
"횡단중","시도","7월","부상자수[명]","명","515","434","380","393","382",
"횡단중","시도","8월","사고건수[건]","건","476","385","364","368","344",
"횡단중","시도","8월","사망자수[명]","명","15","13","19","18","9",
"횡단중","시도","8월","부상자수[명]","명","495","403","376","365","360",
"횡단중","시도","9월","사고건수[건]","건","563","422","354","400","427",
"횡단중","시도","9월","사망자수[명]","명","26","27","11","9","18",
"횡단중","시도","9월","부상자수[명]","명","586","423","364","421","439",
"횡단중","시도","10월","사고건수[건]","건","598","457","413","454","420",
"횡단중","시도","10월","사망자수[명]","명","20","16","15","20","17",
"횡단중","시도","10월","부상자수[명]","명","608","472","432","462","426",
"횡단중","시도","11월","사고건수[건]","건","688","427","485","439","444",
"횡단중","시도","11월","사망자수[명]","명","26","11","16","14","20",
"횡단중","시도","11월","부상자수[명]","명","697","450","499","450","445",
"횡단중","시도","12월","사고건수[건]","건","574","404","465","438","514",
"횡단중","시도","12월","사망자수[명]","명","25","17","15","18","20",
"횡단중","시도","12월","부상자수[명]","명","579","415","484","442","520",
"횡단중","군도","전체","사고건수[건]","건","610","447","432","455","484",
"횡단중","군도","전체","사망자수[명]","명","35","23","18","20","33",
"횡단중","군도","전체","부상자수[명]","명","617","446","426","469","481",
"횡단중","군도","1월","사고건수[건]","건","40","55","43","25","31",
"횡단중","군도","1월","사망자수[명]","명","2","3","2","1","1",
"횡단중","군도","1월","부상자수[명]","명","38","54","41","28","30",
"횡단중","군도","2월","사고건수[건]","건","28","28","28","29","39",
"횡단중","군도","2월","사망자수[명]","명","2","1","0","2","3",
"횡단중","군도","2월","부상자수[명]","명","26","28","30","28","37",
"횡단중","군도","3월","사고건수[건]","건","58","32","33","41","54",
"횡단중","군도","3월","사망자수[명]","명","2","1","1","3","3",
"횡단중","군도","3월","부상자수[명]","명","66","31","33","43","53",
"횡단중","군도","4월","사고건수[건]","건","54","30","33","39","48",
"횡단중","군도","4월","사망자수[명]","명","1","1","1","0","2",
"횡단중","군도","4월","부상자수[명]","명","57","30","34","40","52",
"횡단중","군도","5월","사고건수[건]","건","52","34","37","45","46",
"횡단중","군도","5월","사망자수[명]","명","1","0","0","2","6",
"횡단중","군도","5월","부상자수[명]","명","54","34","38","45","43",
"횡단중","군도","6월","사고건수[건]","건","41","48","37","31","38",
"횡단중","군도","6월","사망자수[명]","명","1","4","1","2","3",
"횡단중","군도","6월","부상자수[명]","명","48","46","37","31","36",
"횡단중","군도","7월","사고건수[건]","건","47","32","32","36","31",
"횡단중","군도","7월","사망자수[명]","명","2","1","2","0","2",
"횡단중","군도","7월","부상자수[명]","명","51","34","31","38","29",
"횡단중","군도","8월","사고건수[건]","건","58","34","27","47","34",
"횡단중","군도","8월","사망자수[명]","명","2","5","1","1","2",
"횡단중","군도","8월","부상자수[명]","명","59","32","27","53","33",
"횡단중","군도","9월","사고건수[건]","건","58","31","36","37","36",
"횡단중","군도","9월","사망자수[명]","명","5","3","2","4","1",
"횡단중","군도","9월","부상자수[명]","명","57","30","34","36","37",
"횡단중","군도","10월","사고건수[건]","건","68","39","53","48","44",
"횡단중","군도","10월","사망자수[명]","명","7","0","3","1","3",
"횡단중","군도","10월","부상자수[명]","명","63","41","52","48","45",
"횡단중","군도","11월","사고건수[건]","건","57","51","45","46","46",
"횡단중","군도","11월","사망자수[명]","명","7","3","2","3","6",
"횡단중","군도","11월","부상자수[명]","명","50","51","43","47","48",
"횡단중","군도","12월","사고건수[건]","건","49","33","28","31","37",
"횡단중","군도","12월","사망자수[명]","명","3","1","3","1","1",
"횡단중","군도","12월","부상자수[명]","명","48","35","26","32","38",
"횡단중","고속국도","전체","사고건수[건]","건","12","7","8","12","11",
"횡단중","고속국도","전체","사망자수[명]","명","2","5","1","4","3",
"횡단중","고속국도","전체","부상자수[명]","명","11","3","7","8","8",
"횡단중","고속국도","1월","사고건수[건]","건","","1","","2","",
"횡단중","고속국도","1월","사망자수[명]","명","","0","","1","",
"횡단중","고속국도","1월","부상자수[명]","명","","1","","1","",
"횡단중","고속국도","2월","사고건수[건]","건","","","","","2",
"횡단중","고속국도","2월","사망자수[명]","명","","","","","0",
"횡단중","고속국도","2월","부상자수[명]","명","","","","","2",
"횡단중","고속국도","3월","사고건수[건]","건","","1","","","2",
"횡단중","고속국도","3월","사망자수[명]","명","","1","","","0",
"횡단중","고속국도","3월","부상자수[명]","명","","0","","","2",
"횡단중","고속국도","4월","사고건수[건]","건","","","1","","2",
"횡단중","고속국도","4월","사망자수[명]","명","","","0","","0",
"횡단중","고속국도","4월","부상자수[명]","명","","","1","","2",
"횡단중","고속국도","5월","사고건수[건]","건","3","","2","2","",
"횡단중","고속국도","5월","사망자수[명]","명","0","","0","0","",
"횡단중","고속국도","5월","부상자수[명]","명","3","","2","2","",
"횡단중","고속국도","6월","사고건수[건]","건","1","3","","2","",
"횡단중","고속국도","6월","사망자수[명]","명","0","2","","0","",
"횡단중","고속국도","6월","부상자수[명]","명","1","1","","2","",
"횡단중","고속국도","7월","사고건수[건]","건","","1","1","","",
"횡단중","고속국도","7월","사망자수[명]","명","","1","0","","",
"횡단중","고속국도","7월","부상자수[명]","명","","0","1","","",
"횡단중","고속국도","8월","사고건수[건]","건","3","","","2","1",
"횡단중","고속국도","8월","사망자수[명]","명","1","","","0","1",
"횡단중","고속국도","8월","부상자수[명]","명","2","","","2","0",
"횡단중","고속국도","9월","사고건수[건]","건","","","1","1","",
"횡단중","고속국도","9월","사망자수[명]","명","","","0","1","",
"횡단중","고속국도","9월","부상자수[명]","명","","","1","0","",
"횡단중","고속국도","10월","사고건수[건]","건","1","1","","","3",
"횡단중","고속국도","10월","사망자수[명]","명","0","1","","","1",
"횡단중","고속국도","10월","부상자수[명]","명","1","1","","","2",
"횡단중","고속국도","11월","사고건수[건]","건","2","","2","2","",
"횡단중","고속국도","11월","사망자수[명]","명","0","","0","1","",
"횡단중","고속국도","11월","부상자수[명]","명","3","","2","1","",
"횡단중","고속국도","12월","사고건수[건]","건","2","","1","1","1",
"횡단중","고속국도","12월","사망자수[명]","명","1","","1","1","1",
"횡단중","고속국도","12월","부상자수[명]","명","1","","0","0","0",
"횡단중","기타/불명","전체","사고건수[건]","건","858","457","577","624","532",
"횡단중","기타/불명","전체","사망자수[명]","명","16","8","14","13","10",
"횡단중","기타/불명","전체","부상자수[명]","명","891","477","594","654","539",
"횡단중","기타/불명","1월","사고건수[건]","건","79","46","42","60","37",
"횡단중","기타/불명","1월","사망자수[명]","명","2","1","2","1","0",
"횡단중","기타/불명","1월","부상자수[명]","명","82","45","43","62","38",
"횡단중","기타/불명","2월","사고건수[건]","건","46","37","44","39","32",
"횡단중","기타/불명","2월","사망자수[명]","명","1","1","0","1","0",
"횡단중","기타/불명","2월","부상자수[명]","명","48","36","46","39","32",
"횡단중","기타/불명","3월","사고건수[건]","건","48","32","47","34","38",
"횡단중","기타/불명","3월","사망자수[명]","명","1","0","1","2","1",
"횡단중","기타/불명","3월","부상자수[명]","명","48","34","49","35","38",
"횡단중","기타/불명","4월","사고건수[건]","건","65","25","45","41","34",
"횡단중","기타/불명","4월","사망자수[명]","명","2","0","1","1","0",
"횡단중","기타/불명","4월","부상자수[명]","명","63","26","45","42","36",
"횡단중","기타/불명","5월","사고건수[건]","건","80","38","55","73","40",
"횡단중","기타/불명","5월","사망자수[명]","명","0","0","0","0","0",
"횡단중","기타/불명","5월","부상자수[명]","명","82","43","57","77","42",
"횡단중","기타/불명","6월","사고건수[건]","건","74","40","42","41","43",
"횡단중","기타/불명","6월","사망자수[명]","명","0","0","1","0","0",
"횡단중","기타/불명","6월","부상자수[명]","명","76","41","43","47","46",
"횡단중","기타/불명","7월","사고건수[건]","건","59","43","38","65","43",
"횡단중","기타/불명","7월","사망자수[명]","명","1","1","0","1","1",
"횡단중","기타/불명","7월","부상자수[명]","명","62","44","42","72","42",
"횡단중","기타/불명","8월","사고건수[건]","건","84","34","47","51","32",
"횡단중","기타/불명","8월","사망자수[명]","명","2","3","1","1","2",
"횡단중","기타/불명","8월","부상자수[명]","명","88","36","48","53","31",
"횡단중","기타/불명","9월","사고건수[건]","건","83","43","51","38","52",
"횡단중","기타/불명","9월","사망자수[명]","명","0","0","0","1","2",
"횡단중","기타/불명","9월","부상자수[명]","명","88","48","54","42","52",
"횡단중","기타/불명","10월","사고건수[건]","건","94","44","67","62","53",
"횡단중","기타/불명","10월","사망자수[명]","명","4","1","5","0","3",
"횡단중","기타/불명","10월","부상자수[명]","명","99","46","64","65","51",
"횡단중","기타/불명","11월","사고건수[건]","건","89","35","52","58","61",
"횡단중","기타/불명","11월","사망자수[명]","명","3","0","3","1","1",
"횡단중","기타/불명","11월","부상자수[명]","명","89","37","51","60","61",
"횡단중","기타/불명","12월","사고건수[건]","건","57","40","47","62","67",
"횡단중","기타/불명","12월","사망자수[명]","명","0","1","0","4","0",
"횡단중","기타/불명","12월","부상자수[명]","명","66","41","52","60","70",
"충돌","일반국도","전체","사고건수[건]","건","8233","7563","7676","7849","8684",
"충돌","일반국도","전체","사망자수[명]","명","142","120","118","110","94",
"충돌","일반국도","전체","부상자수[명]","명","14267","12433","12378","12590","13630",
"충돌","일반국도","1월","사고건수[건]","건","493","587","489","579","579",
"충돌","일반국도","1월","사망자수[명]","명","8","9","9","11","7",
"충돌","일반국도","1월","부상자수[명]","명","876","987","789","969","901",
"충돌","일반국도","2월","사고건수[건]","건","500","591","557","502","604",
"충돌","일반국도","2월","사망자수[명]","명","12","8","9","8","6",
"충돌","일반국도","2월","부상자수[명]","명","925","1004","923","775","932",
"충돌","일반국도","3월","사고건수[건]","건","692","593","624","578","733",
"충돌","일반국도","3월","사망자수[명]","명","13","10","12","8","4",
"충돌","일반국도","3월","부상자수[명]","명","1170","957","976","901","1084",
"충돌","일반국도","4월","사고건수[건]","건","683","577","698","701","718",
"충돌","일반국도","4월","사망자수[명]","명","17","8","9","6","10",
"충돌","일반국도","4월","부상자수[명]","명","1183","968","1136","1109","1185",
"충돌","일반국도","5월","사고건수[건]","건","801","678","665","680","806",
"충돌","일반국도","5월","사망자수[명]","명","14","11","8","9","9",
"충돌","일반국도","5월","부상자수[명]","명","1342","1110","1069","1100","1290",
"충돌","일반국도","6월","사고건수[건]","건","701","718","707","668","733",
"충돌","일반국도","6월","사망자수[명]","명","21","7","16","17","9",
"충돌","일반국도","6월","부상자수[명]","명","1225","1171","1144","1032","1161",
"충돌","일반국도","7월","사고건수[건]","건","727","595","657","715","693",
"충돌","일반국도","7월","사망자수[명]","명","5","8","7","5","8",
"충돌","일반국도","7월","부상자수[명]","명","1283","989","1132","1143","1066",
"충돌","일반국도","8월","사고건수[건]","건","717","637","636","690","771",
"충돌","일반국도","8월","사망자수[명]","명","15","13","9","5","10",
"충돌","일반국도","8월","부상자수[명]","명","1252","1093","1044","1122","1228",
"충돌","일반국도","9월","사고건수[건]","건","674","664","666","696","800",
"충돌","일반국도","9월","사망자수[명]","명","4","9","9","14","4",
"충돌","일반국도","9월","부상자수[명]","명","1158","1033","1073","1119","1265",
"충돌","일반국도","10월","사고건수[건]","건","817","690","688","738","746",
"충돌","일반국도","10월","사망자수[명]","명","16","21","11","8","7",
"충돌","일반국도","10월","부상자수[명]","명","1439","1095","1096","1238","1154",
"충돌","일반국도","11월","사고건수[건]","건","772","672","696","679","793",
"충돌","일반국도","11월","사망자수[명]","명","10","10","6","13","8",
"충돌","일반국도","11월","부상자수[명]","명","1235","1079","1098","1086","1233",
"충돌","일반국도","12월","사고건수[건]","건","656","561","593","623","708",
"충돌","일반국도","12월","사망자수[명]","명","7","6","13","6","12",
"충돌","일반국도","12월","부상자수[명]","명","1179","947","898","996","1131",
"충돌","지방도","전체","사고건수[건]","건","7155","6345","6198","5376","5243",
"충돌","지방도","전체","사망자수[명]","명","125","85","79","88","68",
"충돌","지방도","전체","부상자수[명]","명","12218","10509","10102","8707","8487",
"충돌","지방도","1월","사고건수[건]","건","470","567","436","430","341",
"충돌","지방도","1월","사망자수[명]","명","13","6","5","4","4",
"충돌","지방도","1월","부상자수[명]","명","777","976","688","695","571",
"충돌","지방도","2월","사고건수[건]","건","466","467","441","386","409",
"충돌","지방도","2월","사망자수[명]","명","2","8","4","5","4",
"충돌","지방도","2월","부상자수[명]","명","819","806","720","610","658",
"충돌","지방도","3월","사고건수[건]","건","595","452","511","396","453",
"충돌","지방도","3월","사망자수[명]","명","11","12","6","4","7",
"충돌","지방도","3월","부상자수[명]","명","1005","707","822","614","721",
"충돌","지방도","4월","사고건수[건]","건","610","498","522","478","423",
"충돌","지방도","4월","사망자수[명]","명","13","2","7","10","7",
"충돌","지방도","4월","부상자수[명]","명","1068","810","799","839","684",
"충돌","지방도","5월","사고건수[건]","건","662","545","528","483","519",
"충돌","지방도","5월","사망자수[명]","명","10","9","8","9","5",
"충돌","지방도","5월","부상자수[명]","명","1082","925","911","752","868",
"충돌","지방도","6월","사고건수[건]","건","618","569","541","455","443",
"충돌","지방도","6월","사망자수[명]","명","12","6","6","7","9",
"충돌","지방도","6월","부상자수[명]","명","1081","931","915","744","729",
"충돌","지방도","7월","사고건수[건]","건","605","531","633","486","448",
"충돌","지방도","7월","사망자수[명]","명","12","8","5","9","6",
"충돌","지방도","7월","부상자수[명]","명","1019","926","1078","814","736",
"충돌","지방도","8월","사고건수[건]","건","649","534","507","447","471",
"충돌","지방도","8월","사망자수[명]","명","11","6","8","10","4",
"충돌","지방도","8월","부상자수[명]","명","1129","870","797","800","762",
"충돌","지방도","9월","사고건수[건]","건","557","556","518","480","433",
"충돌","지방도","9월","사망자수[명]","명","7","7","2","10","4",
"충돌","지방도","9월","부상자수[명]","명","952","893","867","765","725",
"충돌","지방도","10월","사고건수[건]","건","698","620","533","526","457",
"충돌","지방도","10월","사망자수[명]","명","13","6","7","9","7",
"충돌","지방도","10월","부상자수[명]","명","1204","1047","894","864","706",
"충돌","지방도","11월","사고건수[건]","건","661","549","554","445","471",
"충돌","지방도","11월","사망자수[명]","명","13","8","15","8","6",
"충돌","지방도","11월","부상자수[명]","명","1122","904","881","659","721",
"충돌","지방도","12월","사고건수[건]","건","564","457","474","364","375",
"충돌","지방도","12월","사망자수[명]","명","8","7","6","3","5",
"충돌","지방도","12월","부상자수[명]","명","960","714","730","551","606",
"충돌","특별광역시도","전체","사고건수[건]","건","37014","33371","32138","28854","29073",
"충돌","특별광역시도","전체","사망자수[명]","명","153","131","156","112","110",
"충돌","특별광역시도","전체","부상자수[명]","명","57132","50549","47232","42697","42550",
"충돌","특별광역시도","1월","사고건수[건]","건","2539","2710","2397","2470","2070",
"충돌","특별광역시도","1월","사망자수[명]","명","6","5","8","11","8",
"충돌","특별광역시도","1월","부상자수[명]","명","3857","4304","3550","3691","3074",
"충돌","특별광역시도","2월","사고건수[건]","건","2538","2675","2451","1883","1985",
"충돌","특별광역시도","2월","사망자수[명]","명","11","9","21","4","5",
"충돌","특별광역시도","2월","부상자수[명]","명","4010","4067","3695","2800","2947",
"충돌","특별광역시도","3월","사고건수[건]","건","3051","2528","2686","2093","2491",
"충돌","특별광역시도","3월","사망자수[명]","명","12","16","12","12","13",
"충돌","특별광역시도","3월","부상자수[명]","명","4643","3754","4024","3029","3605",
"충돌","특별광역시도","4월","사고건수[건]","건","3227","2740","2831","2484","2466",
"충돌","특별광역시도","4월","사망자수[명]","명","15","12","9","8","6",
"충돌","특별광역시도","4월","부상자수[명]","명","4940","4182","4184","3650","3656",
"충돌","특별광역시도","5월","사고건수[건]","건","3364","2962","2767","2755","2571",
"충돌","특별광역시도","5월","사망자수[명]","명","22","9","13","6","2",
"충돌","특별광역시도","5월","부상자수[명]","명","5232","4540","4086","4097","3806",
"충돌","특별광역시도","6월","사고건수[건]","건","3082","3037","2846","2441","2487",
"충돌","특별광역시도","6월","사망자수[명]","명","11","7","8","7","16",
"충돌","특별광역시도","6월","부상자수[명]","명","4811","4659","4137","3595","3552",
"충돌","특별광역시도","7월","사고건수[건]","건","3102","2892","2880","2540","2509",
"충돌","특별광역시도","7월","사망자수[명]","명","10","6","15","14","4",
"충돌","특별광역시도","7월","부상자수[명]","명","4786","4403","4167","3762","3676",
"충돌","특별광역시도","8월","사고건수[건]","건","3268","2789","2561","2332","2543",
"충돌","특별광역시도","8월","사망자수[명]","명","16","14","19","11","14",
"충돌","특별광역시도","8월","부상자수[명]","명","5035","4245","3748","3465","3714",
"충돌","특별광역시도","9월","사고건수[건]","건","3091","2773","2682","2531","2538",
"충돌","특별광역시도","9월","사망자수[명]","명","16","13","9","5","15",
"충돌","특별광역시도","9월","부상자수[명]","명","4784","4095","3887","3714","3735",
"충돌","특별광역시도","10월","사고건수[건]","건","3396","2994","2746","2713","2477",
"충돌","특별광역시도","10월","사망자수[명]","명","16","15","13","10","14",
"충돌","특별광역시도","10월","부상자수[명]","명","5240","4551","4003","4064","3597",
"충돌","특별광역시도","11월","사고건수[건]","건","3273","2761","2783","2377","2592",
"충돌","특별광역시도","11월","사망자수[명]","명","9","13","15","11","9",
"충돌","특별광역시도","11월","부상자수[명]","명","5014","4101","4111","3503","3745",
"충돌","특별광역시도","12월","사고건수[건]","건","3083","2510","2508","2235","2344",
"충돌","특별광역시도","12월","사망자수[명]","명","9","12","14","13","4",
"충돌","특별광역시도","12월","부상자수[명]","명","4780","3648","3640","3327","3443",
"충돌","시도","전체","사고건수[건]","건","31991","29908","28436","25989","26043",
"충돌","시도","전체","사망자수[명]","명","243","199","184","207","140",
"충돌","시도","전체","부상자수[명]","명","50705","46315","42821","38946","38803",
"충돌","시도","1월","사고건수[건]","건","2224","2391","2149","2018","1748",
"충돌","시도","1월","사망자수[명]","명","23","13","12","9","8",
"충돌","시도","1월","부상자수[명]","명","3555","3784","3302","3044","2591",
"충돌","시도","2월","사고건수[건]","건","2072","2381","2073","1698","1780",
